time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.0766141,3.56031,9.1482
0.0100594,-0.0766141,3.56031,9.1482
0.0201188,-0.055216,3.54026,9.20476
0.0301781,-0.0662891,3.55836,9.25504
0.0402375,-0.0359128,3.55283,9.21374
0.0502969,-0.086939,3.59054,9.18531
0.0603563,-0.106392,3.64037,9.11288
0.0704157,-0.1441,3.6459,9.05213
0.0804751,-0.149487,3.6462,9.06111
0.0905344,-0.241514,3.71518,9.13234
0.100594,-0.245105,3.69902,9.10091
0.110653,-0.245853,3.66969,9.09358
0.120713,-0.258423,3.70291,9.11722
0.130772,-0.250342,3.71174,9.15254
0.140831,-0.202159,3.67972,9.14161
0.150891,-0.22655,3.69573,9.12964
0.16095,-0.171933,3.70067,9.15179
0.17101,-0.194229,3.69648,9.18022
0.181069,-0.205002,3.6685,9.20985
0.191128,-0.208145,3.69154,9.24082
0.201188,-0.210988,3.67358,9.23678
0.211247,-0.206499,3.66027,9.26013
0.221306,-0.217422,3.64022,9.28108
0.231366,-0.232536,3.65069,9.2694
0.241425,-0.239269,3.61268,9.26087
0.251485,-0.218021,3.62271,9.28422
0.261544,-0.244357,3.626,9.28721
0.271603,-0.219817,3.61882,9.25803
0.281663,-0.215028,3.62869,9.20581
0.291722,-0.194827,3.59847,9.18232
0.301781,-0.157119,3.56644,9.2091
0.311841,-0.134972,3.52784,9.19758
0.3219,-0.102052,3.52724,9.16615
0.33196,-0.108936,3.53846,9.10645
0.342019,-0.133476,3.57363,9.11243
0.352078,-0.185699,3.63752,9.10555
0.362138,-0.157717,3.63303,9.1057
0.372197,-0.159812,3.62555,9.11752
0.382257,-0.140509,3.61912,9.09478
0.392316,-0.113574,3.61493,9.13877
0.402375,-0.0864901,3.5853,9.13503
0.412435,-0.0567124,3.5859,9.1283
0.422494,-0.0222959,3.55507,9.13937
0.432553,0.00763148,3.50973,9.15134
0.442613,0.0219966,3.49626,9.13398
0.452672,0.0395041,3.54415,9.09612
0.462732,0.0203506,3.55941,9.06365
0.472791,-0.0231937,3.61986,9.03313
0.48285,-0.0296281,3.62839,8.98405
0.49291,-0.0329201,3.63423,8.98569
0.502969,-0.0330697,3.66461,8.96654
0.513029,-0.0236426,3.67418,8.96519
0.523088,0.00314237,3.67029,8.98764
0.533147,0.0378581,3.69214,8.99811
0.543207,0.0365114,3.67014,9.01143
0.553266,0.0414494,3.64066,9.02175
0.563325,0.0653913,3.63543,9.03762
0.573385,0.0480334,3.59787,9.03537
0.583444,0.00882857,3.59293,9.01981
0.593504,-0.0242412,3.63498,9.01098
0.603563,-0.0270843,3.65278,8.99991
0.613622,-0.0772126,3.6673,8.99048
0.623682,-0.105195,3.69408,8.98734
0.633741,-0.122852,3.72237,9.00006
0.6438,-0.136469,3.73239,8.99243
0.65386,-0.154126,3.75603,8.99931
0.663919,-0.163254,3.77579,9.03612
0.673979,-0.13617,3.73538,9.05677
0.684038,-0.142903,3.70022,9.05049
0.694097,-0.146345,3.67598,9.06934
0.704157,-0.126443,3.69079,9.07547
0.714216,-0.135721,3.68256,9.07951
0.724276,-0.114921,3.6679,9.07054
0.734335,-0.112078,3.66685,9.09223
0.744394,-0.124498,3.65308,9.12785
0.754454,-0.163254,3.64874,9.10645
0.764513,-0.133925,3.61942,9.09553
0.774572,-0.1441,3.58365,9.05916
0.784632,-0.181659,3.60026,9.0665
0.794691,-0.120458,3.55747,9.0463
0.804751,-0.163703,3.59757,9.12261
0.81481,-0.190188,3.62016,8.99692
0.824869,-0.127939,3.58964,8.93676
0.834929,-0.143651,3.57827,8.91791
0.844988,-0.0938223,3.57767,8.94499
0.855048,-0.0565627,3.58605,8.93107
0.865107,-0.0266354,3.56181,8.91985
0.875166,0.026785,3.52365,8.9212
0.885226,0.0558145,3.53637,8.89262
0.895285,0.0474349,3.55103,8.89277
0.905344,0.137965,3.54445,8.819
0.915404,0.178068,3.47157,8.7542
0.925463,0.219517,3.49417,8.68821
0.935523,0.25124,3.52724,8.611
0.945582,0.312891,3.54774,8.56177
0.955641,0.348654,3.60565,8.54262
0.965701,0.375588,3.70845,8.53364
0.97576,0.42452,3.83639,8.51209
0.98582,0.441279,4.00398,8.50775
0.995879,0.448761,4.17442,8.50596
1.00594,0.536149,4.33677,8.54681
1.016,0.639847,4.44272,8.59589
1.02606,0.713917,4.55928,8.72398
1.03612,0.781553,4.63784,8.78308
1.04618,0.798163,4.72897,8.88005
1.05624,0.80774,4.76399,8.93766
1.06629,0.782301,4.80604,8.96789
1.07635,0.740403,4.85796,8.96444
1.08641,0.662442,4.87367,8.9396
1.09647,0.577149,4.9232,8.93377
1.10653,0.451305,4.95747,8.8811
1.11659,0.361822,4.98365,8.8163
1.12665,0.270843,5.00505,8.75376
1.13671,0.19797,4.96884,8.69824
1.14677,0.205601,4.93053,8.68627
1.15683,0.212784,4.82923,8.65245
1.16689,0.261864,4.70084,8.62178
1.17695,0.291193,4.5934,8.5691
1.18701,0.276679,4.48731,8.51434
1.19707,0.282814,4.39424,8.51523
1.20713,0.293288,4.32241,8.47977
1.21719,0.357333,4.22694,8.45912
1.22724,0.390253,4.18534,8.42695
1.2373,0.438286,4.1424,8.428
1.24736,0.509663,4.11097,8.41692
