time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.309,1.97191,9.61626
0.0100149,-0.332792,1.96862,9.62404
0.0200298,-0.357034,1.92897,9.62689
0.0300448,-0.352694,1.91939,9.63018
0.0400597,-0.379629,1.92672,9.62015
0.0500746,-0.400428,1.9179,9.61073
0.0600895,-0.396388,1.91326,9.58618
0.0701045,-0.407311,1.92328,9.60055
0.0801194,-0.417636,1.91131,9.6013
0.0901343,-0.428111,1.94109,9.57616
0.100149,-0.438286,1.91206,9.5787
0.110164,-0.432301,1.94393,9.5992
0.120179,-0.408509,1.92403,9.62584
0.130194,-0.376037,1.9146,9.65053
0.140209,-0.392497,1.94318,9.65083
0.150224,-0.382621,1.9363,9.65188
0.160239,-0.390702,1.95022,9.61581
0.170254,-0.369304,1.95949,9.61925
0.180269,-0.347606,1.96473,9.61671
0.190284,-0.378432,1.97416,9.61132
0.200298,-0.364066,1.97775,9.62823
0.210313,-0.345811,1.93795,9.62599
0.220328,-0.37095,1.96084,9.67268
0.230343,-0.357333,1.95905,9.66055
0.240358,-0.3503,1.95321,9.65816
0.250373,-0.352395,1.95156,9.66085
0.260388,-0.328603,1.97371,9.60818
0.270403,-0.331595,1.92388,9.60654
0.280418,-0.31304,1.93151,9.66145
0.290433,-0.279372,1.93121,9.61851
0.300448,-0.267102,1.91056,9.65083
0.310463,-0.253485,1.92852,9.67432
0.320478,-0.282365,1.94692,9.65217
0.330492,-0.306606,1.94513,9.61806
0.340507,-0.304212,1.93436,9.60953
0.350522,-0.370202,1.97865,9.54683
0.360537,-0.390851,1.99645,9.53381
0.370552,-0.38337,1.96922,9.5597
0.380567,-0.349252,1.94872,9.55506
0.390582,-0.333241,1.90742,9.59112
0.400597,-0.329201,1.88423,9.60818
0.410612,-0.325011,1.88812,9.601
0.420627,-0.332343,1.91191,9.56479
0.430642,-0.328902,1.914,9.50104
0.440657,-0.358081,1.93002,9.45735
0.450672,-0.36661,1.96817,9.47186
0.460686,-0.361822,1.97221,9.47964
0.470701,-0.394892,1.93914,9.54144
0.480716,-0.382921,1.90817,9.5808
0.490731,-0.359128,1.82946,9.58813
0.500746,-0.372296,1.80297,9.63182
0.510761,-0.373942,1.76961,9.63975
0.520776,-0.373942,1.76961,9.63975
0.530791,-0.343117,1.77275,9.61686
0.540806,-0.413147,1.80193,9.58903
0.550821,-0.401775,1.82512,9.53905
0.560836,-0.415542,1.82258,9.53082
0.570851,-0.456542,1.82168,9.52723
0.580866,-0.438885,1.82557,9.53935
0.59088,-0.441429,1.82901,9.56703
0.600895,-0.411651,1.79863,9.57945
0.61091,-0.402224,1.78966,9.59831
0.620925,-0.401925,1.80073,9.58918
0.63094,-0.376337,1.77035,9.57571
0.640955,-0.355537,1.76766,9.60474
0.65097,-0.311245,1.73459,9.65816
0.660985,-0.261116,1.74432,9.68928
0.671,-0.225203,1.74911,9.70934
0.681015,-0.208294,1.73938,9.77293
0.69103,-0.199765,1.74686,9.78236
0.701045,-0.196174,1.73833,9.78475
0.71106,-0.190637,1.77514,9.7846
0.721075,-0.157867,1.78681,9.77009
0.731089,-0.149936,1.81973,9.74121
0.741104,-0.106691,1.85235,9.69647
0.751119,-0.104895,1.86343,9.71412
0.761134,-0.129436,1.88363,9.6839
0.771149,-0.184053,1.87076,9.68061
0.781164,-0.184053,1.89096,9.702
0.791179,-0.143951,1.88527,9.66205
0.801194,-0.0689826,1.86657,9.70649
0.811209,-0.0445918,1.86792,9.70006
0.821224,-0.0638949,1.86268,9.746
0.831239,-0.0694315,1.84308,9.72774
0.841254,-0.0848441,1.83724,9.70036
0.851269,-0.141556,1.81539,9.67716
0.861283,-0.219068,1.79519,9.61207
0.871298,-0.248397,1.82048,9.57197
0.881313,-0.266503,1.83006,9.51301
0.891328,-0.299723,1.79983,9.4153
0.901343,-0.335486,1.7702,9.32507
0.911358,-0.40806,1.74985,9.26207
0.921373,-0.467316,1.70137,9.22795
0.931388,-0.491557,1.65977,9.18246
0.941403,-0.472254,1.61892,9.22391
0.951418,-0.513105,1.61129,9.22302
0.961433,-0.540039,1.59857,9.15014
0.971448,-0.582237,1.55129,9.07907
0.981463,-0.620544,1.56086,9.02116
0.991477,-0.620544,1.56086,9.02116
1.00149,-0.58089,1.5664,8.95636
1.01151,-0.562335,1.54156,8.9423
1.02152,-0.555452,1.46554,8.96055
1.03154,-0.532109,1.39207,8.94484
1.04155,-0.503678,1.33686,8.92689
1.05157,-0.455794,1.28628,8.91132
1.06158,-0.382322,1.25126,8.8368
1.0716,-0.326956,1.19994,8.74642
1.08161,-0.311843,1.1332,8.61295
1.09163,-0.301818,1.12362,8.47483
1.10164,-0.301818,1.07963,8.38789
1.11166,-0.339227,1.05718,8.26654
1.12167,-0.314986,0.953636,8.15775
1.13169,-0.268897,0.845299,8.02323
1.1417,-0.260817,0.780805,7.90876
1.15172,-0.218919,0.743396,7.7666
1.16173,-0.200364,0.718406,7.60948
1.17175,-0.240317,0.738907,7.40553
1.18176,-0.281467,0.794572,7.25275
1.19178,-0.318278,0.775717,7.17389
1.20179,-0.341172,0.838415,7.15339
1.21181,-0.379928,0.927,7.20741
1.22182,-0.388757,0.907398,7.501
1.23184,-0.478988,0.916675,7.93958
1.24185,-0.584482,0.87747,8.44775
1.25187,-0.671121,0.831233,9.0632
1.26188,-0.74175,0.744593,9.77503
1.2719,-0.793524,0.624285,10.606
1.28191,-0.73756,0.370202,11.5512
1.29193,-0.528817,0.280719,12.5762
1.30194,-0.326657,0.367209,13.3898
1.31196,-0.281168,0.508316,14.0262
1.32197,-0.375738,0.746538,14.6197
1.33198,-0.64673,0.91054,15.1548
1.342,-0.933884,1.06063,15.7138
1.35201,-1.0705,1.22582,16.5543
1.36203,-0.768535,1.40165,17.3761
1.37204,-0.404618,1.65798,18.3106
1.38206,-0.148739,1.94962,19.433
1.39207,-0.00404019,2.01516,20.4346
1.40209,0.0308252,2.10374,21.5673
1.4121,0.16879,2.01531,22.4699
1.42212,0.600193,1.74372,23.1514
1.43213,1.11809,1.69763,23.3438
1.44215,1.4645,1.90503,23.0599
1.45216,1.53497,2.50657,22.2826
1.46218,1.46165,3.11424,21.076
1.47219,1.33222,3.60415,19.7757
1.48221,1.12991,3.96044,18.455
1.49222,0.929993,4.21093,17.1098
1.50224,0.788736,4.25238,15.7298
1.51225,0.836769,4.00742,14.2421
1.52227,1.03698,3.49327,12.6798
1.53228,1.26084,2.5938,11.0662
1.5423,1.27266,1.68671,9.5404
1.55231,1.26159,0.811032,8.01859
1.56233,1.11779,-0.0179564,6.53614
1.57234,0.832729,-0.324263,4.97318
1.58236,0.531809,-0.560091,3.56091
1.59237,0.264259,-0.544528,2.34107
1.60239,-0.112078,-0.249445,1.08621
1.6124,-0.520437,-0.0628475,-0.0372596
1.62242,-1.05748,0.442626,-1.03908
1.63243,-1.05748,0.442626,-1.03908
1.64245,-1.48006,0.952588,-2.25099
1.65246,-1.43592,0.84485,-2.48726
1.66248,-1.19545,0.620394,-2.32266
1.67249,-0.817466,0.24705,-1.79444
1.68251,-0.389654,-0.169539,-1.2577
1.69252,-0.170137,-0.328752,-0.859664
1.70254,-0.00628475,-0.599595,-0.458487
1.71255,0.0589569,-0.754918,-0.211736
1.72257,0.122553,-0.830036,-0.136469
1.73258,0.0728731,-0.847543,-0.066738
1.7426,-0.0285806,-0.698654,-0.0531211
1.75261,-0.0517743,-0.628325,-0.0320223
1.76263,-0.172382,-0.48632,-0.0118213
1.77264,-0.257076,-0.404618,0.0939719
1.78266,-0.262313,-0.440232,0.347157
1.79267,-0.218919,-0.355986,0.604682
1.80269,-0.0715264,-0.346409,0.69626
1.8127,0.0170586,-0.338778,0.851434
1.82272,0.0499787,-0.211287,1.03848
1.83273,0.222211,-0.173728,1.2574
1.84275,0.256777,-0.00134673,1.54605
1.85276,0.330249,0.40372,1.94184
1.86278,0.436491,0.561138,2.60114
1.87279,0.423023,0.793823,3.75454
1.88281,0.122702,1.02411,5.47057
1.89282,-0.330099,1.49712,8.07396
1.90284,-1.13784,2.68164,10.7532
1.91285,-2.05811,4.389,13.4236
1.92287,-2.81078,6.07406,16.0708
1.93288,-2.86899,7.02261,18.4538
1.9429,-2.327,7.15967,21.1471
1.95291,-1.72187,6.89302,24.2581
1.96293,-1.25171,6.59509,27.8034
1.97294,-0.108038,5.64625,30.8868
1.98295,1.30453,4.98291,32.6795
1.99297,2.9667,4.49509,33.3095
2.00298,3.81035,4.63605,33.0144
2.013,3.66416,5.12701,31.8328
2.02301,3.07384,5.7254,30.2655
2.03303,2.64289,6.13631,28.7333
2.04304,2.74524,6.26589,27.1494
2.05306,2.92375,5.94851,25.089
2.06307,2.76574,5.42987,22.7494
