time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,6.94554,-6.40925,-2.52377
0.0100039,6.97727,-6.3883,-2.51091
0.0200077,6.98999,-6.37887,-2.48906
0.0300116,6.99253,-6.3461,-2.48652
0.0400155,6.99133,-6.35089,-2.45943
0.0500193,7.02126,-6.34655,-2.46646
0.0600232,7.03024,-6.34011,-2.4717
0.0700271,7.03772,-6.31857,-2.47514
0.080031,7.02051,-6.32066,-2.47305
0.0900348,7.05373,-6.32395,-2.52153
0.100039,7.0473,-6.32455,-2.54128
0.110043,7.05179,-6.31512,-2.5344
0.120046,7.03353,-6.31183,-2.54592
0.13005,7.0247,-6.29896,-2.5323
0.140054,7.00884,-6.30016,-2.53156
0.150058,7.02246,-6.30076,-2.5742
0.160062,7.02036,-6.32814,-2.57675
0.170066,7.05268,-6.34894,-2.5977
0.18007,7.01064,-6.30989,-2.58662
0.190074,7.03099,-6.30824,-2.58932
0.200077,7.02186,-6.33951,-2.59246
0.210081,7.03652,-6.35328,-2.62822
0.220085,7.00689,-6.31767,-2.61371
0.230089,6.98355,-6.30869,-2.64184
0.240093,6.9858,-6.31093,-2.64199
0.250097,7.00794,-6.31273,-2.62792
0.260101,7.00929,-6.31991,-2.6384
0.270104,6.99986,-6.34939,-2.63555
0.280108,7.00839,-6.34685,-2.60997
0.290112,6.99178,-6.32709,-2.62747
0.300116,6.98295,-6.31632,-2.60982
0.31012,6.94599,-6.28041,-2.576
0.320124,6.93896,-6.26021,-2.54981
0.330128,6.97353,-6.2819,-2.54323
0.340132,6.98654,-6.32276,-2.53874
0.350135,7.01213,-6.35627,-2.53156
0.360139,7.06495,-6.39548,-2.53949
0.370143,7.0458,-6.37378,-2.50717
0.380147,7.02111,-6.32979,-2.48996
0.390151,7.02126,-6.32216,-2.51165
0.400155,7.00465,-6.2837,-2.49415
0.410159,6.97368,-6.25467,-2.48023
0.420163,7.01034,-6.2216,-2.47574
0.430166,7.03203,-6.21247,-2.48233
0.44017,7.03981,-6.2442,-2.50372
0.450174,7.07318,-6.23941,-2.5124
0.460178,7.08441,-6.24105,-2.5323
0.470182,7.10551,-6.22025,-2.52617
0.480186,7.10281,-6.23641,-2.53575
0.49019,7.12346,-6.23851,-2.55699
0.500193,7.13409,-6.25168,-2.5528
0.510197,7.13618,-6.24435,-2.55206
0.520201,7.10984,-6.25497,-2.52961
0.530205,7.09668,-6.25273,-2.53784
