time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-3.93754,4.35323,7.93674
0.010325,-3.93754,4.35323,7.93674
0.0206499,-3.95625,4.40486,7.96173
0.0309749,-3.95625,4.40486,7.96173
0.0412999,-3.94203,4.38271,7.95933
0.0516248,-3.94009,4.33872,7.88377
0.0619498,-3.94009,4.33872,7.88377
0.0722747,-3.91824,4.25388,7.81688
0.0825997,-3.91899,4.25567,7.80655
0.0929247,-3.92797,4.26914,7.77663
0.10325,-3.93305,4.27916,7.77618
0.113575,-3.93305,4.27916,7.77618
0.1239,-3.9368,4.2847,7.7672
0.134225,-3.99321,4.27976,7.76555
0.144549,-4.04409,4.29518,7.83558
0.154874,-4.07252,4.31583,7.8486
0.165199,-4.07252,4.31583,7.8486
0.175524,-4.09421,4.31987,7.89005
0.185849,-4.05651,4.30026,7.90307
0.196174,-4.02553,4.31672,7.89619
0.206499,-3.99306,4.30864,7.89783
0.216824,-3.94742,4.29233,7.87793
0.227149,-3.92707,4.30161,7.89783
0.237474,-3.90657,4.29548,7.91699
0.247799,-3.90657,4.29548,7.91699
0.258124,-3.88667,4.29158,7.89768
0.268449,-3.86931,4.32196,7.85549
0.278774,-3.8934,4.34082,7.84845
0.289099,-3.90672,4.31373,7.86805
0.299424,-3.89609,4.3058,7.88616
0.309749,-3.89609,4.3058,7.88616
0.320074,-3.90986,4.26181,7.90217
0.330399,-3.90986,4.26181,7.90217
0.340724,-3.92363,4.27512,7.94377
0.351049,-3.93276,4.28186,7.94617
0.361374,-3.93276,4.28186,7.94617
0.371699,-3.93635,4.29458,7.93599
0.382024,-3.93635,4.29458,7.93599
0.392349,-3.91779,4.31792,7.93973
0.402674,-3.93485,4.29233,7.94063
0.412999,-3.90941,4.32525,7.92507
0.423324,-3.92602,4.32241,7.90352
0.433648,-3.93754,4.29682,7.89649
0.443973,-3.93754,4.29682,7.89649
0.454298,-3.92004,4.30206,7.86791
0.464623,-3.93066,4.31822,7.91325
0.474948,-3.9157,4.29622,7.89589
0.485273,-3.93814,4.31059,7.90636
0.495598,-3.92123,4.29712,7.87344
0.505923,-3.91899,4.27647,7.87883
0.516248,-3.91749,4.27153,7.86012
0.526573,-3.91749,4.27153,7.86012
0.536898,-3.90477,4.27258,7.88616
0.547223,-3.92512,4.27483,7.90142
0.557548,-3.90223,4.27483,7.89619
0.567873,-3.93605,4.27737,7.9101
0.578198,-3.94562,4.29293,7.92971
0.588523,-3.93335,4.33393,7.92357
0.598848,-3.91959,4.32121,7.91609
0.609173,-3.92123,4.30595,7.90172
0.619498,-3.88487,4.28739,7.89469
0.629823,-3.86213,4.27079,7.85773
0.640148,-3.86213,4.27079,7.85773
0.650473,-3.90133,4.25807,7.9098
0.660798,-3.94458,4.27857,7.93614
0.671123,-3.97465,4.29966,7.97235
0.681448,-3.96074,4.31463,8.01395
0.691773,-3.95026,4.32106,8.00363
0.702098,-3.92153,4.35294,7.9746
0.712423,-3.89804,4.33259,7.92911
0.722747,-3.85928,4.30206,7.88706
0.733072,-3.86976,4.27497,7.85534
0.743397,-3.86991,4.27647,7.85504
0.753722,-3.86617,4.25642,7.84531
0.764047,-3.88801,4.25507,7.88152
