time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,9.07443,-2.83322,-2.30037
0.01002,9.024,-2.83427,-2.26954
0.0200399,9.02475,-2.85268,-2.24755
0.0300599,8.99587,-2.85642,-2.21926
0.0400798,8.99407,-2.89039,-2.20894
0.0500998,8.97312,-2.88724,-2.17093
0.0601197,9.01352,-2.87946,-2.15926
0.0701397,8.99452,-2.87572,-2.16569
0.0801597,9.01562,-2.88649,-2.10883
0.0901796,9.00021,-2.90565,-2.11272
0.1002,9.00799,-2.9046,-2.09387
0.11022,9.02175,-2.92091,-2.08684
0.120239,9.01113,-2.91358,-2.11212
0.130259,8.97133,-2.92914,-2.05676
0.140279,8.96968,-2.90086,-2.04419
0.150299,8.97582,-2.93064,-2.02174
0.160319,9.01143,-2.96042,-2.07008
0.170339,9.05393,-3.0068,-2.0801
0.180359,9.06635,-3.02132,-2.08235
0.190379,9.07892,-3.00216,-2.07442
0.200399,9.07757,-3.0071,-2.09088
0.210419,9.09972,-2.98989,-2.07082
0.220439,9.06799,-2.97822,-2.08728
0.230459,9.06305,-2.92675,-2.13681
0.240479,9.0445,-2.88724,-2.13666
0.250499,9.04929,-2.83517,-2.16899
0.260519,9.0234,-2.80689,-2.14714
0.270539,8.98584,-2.79866,-2.14205
0.280559,8.89726,-2.73641,-2.18425
0.290579,8.97462,-2.73686,-2.20026
0.300599,9.01637,-2.81407,-2.20505
0.310619,8.95636,-2.7828,-2.27523
0.320639,8.98584,-2.74569,-2.19547
0.330659,8.96848,-2.7186,-2.21118
0.340679,8.89786,-2.75003,-2.29154
0.350699,8.89337,-2.72204,-2.25293
0.360718,8.96055,-2.73297,-2.30575
0.370738,8.92419,-2.79866,-2.33104
0.380758,8.99781,-2.86061,-2.27822
0.390778,9.03627,-2.89547,-2.286
0.400798,9.02116,-2.93333,-2.27747
0.410818,9.07622,-2.94964,-2.26056
0.420838,9.09897,-2.95742,-2.33284
0.430858,9.01218,-2.89248,-2.31039
0.440878,8.97507,-2.87961,-2.33164
0.450898,8.91252,-2.80644,-2.3472
0.460918,8.8778,-2.78639,-2.3915
0.470938,8.79895,-2.78818,-2.45793
0.480958,8.79072,-2.78519,-2.54577
0.490978,8.72951,-2.73731,-2.53066
0.500998,8.73131,-2.75661,-2.6354
0.511018,8.76109,-2.77427,-2.71606
0.521038,8.79431,-2.79043,-2.80434
0.531058,8.74508,-2.80629,-2.81033
0.541078,8.8371,-2.84549,-2.85687
0.551098,8.84069,-2.85627,-2.89652
0.561118,8.81032,-2.88335,-2.92331
0.571138,8.81092,-2.93228,-2.90041
0.581158,8.83351,-2.90849,-2.92331
0.591178,8.82738,-2.98032,-2.95024
0.601197,8.81092,-3.01862,-2.967
0.611217,8.80718,-3.03942,-2.95114
0.621237,8.79266,-3.09853,-2.96356
0.631257,8.7762,-3.10871,-2.9465
0.641277,8.76842,-3.14881,-2.95413
0.651297,8.75809,-3.18487,-2.96999
0.661317,8.7768,-3.20268,-2.97538
0.671337,8.76243,-3.24921,-3.05229
0.681357,8.76468,-3.28962,-3.04361
0.691377,8.79042,-3.30727,-3.05184
0.701397,8.77066,-3.34319,-3.05319
0.711417,8.75645,-3.36354,-3.07189
0.721437,8.73939,-3.38808,-3.07668
0.731457,8.71859,-3.39631,-3.09763
0.741477,8.74253,-3.43521,-3.10751
0.751497,8.7373,-3.40708,-3.09898
0.761517,8.67475,-3.35201,-3.10856
0.771537,8.65814,-3.27375,-3.10871
0.781557,8.64347,-3.21315,-3.1533
0.791577,8.62567,-3.13818,-3.14267
0.801597,8.64916,-3.17125,-3.15315
0.811617,8.68956,-3.18562,-3.20881
0.821637,8.79461,-3.19939,-3.22886
0.831657,8.91865,-3.20118,-3.27854
0.841676,8.93586,-3.18622,-3.34618
0.851696,8.82618,-3.05095,-3.15958
0.861716,8.77007,-2.98331,-3.09658
0.871736,8.77007,-2.98331,-3.09658
0.881756,8.75809,-2.91627,-3.0897
0.891776,8.75809,-2.91627,-3.0897
0.901796,8.76992,-2.87482,-3.10287
0.911816,8.84518,-2.88455,-3.13953
0.921836,8.88514,-2.91268,-3.18906
0.931856,8.94798,-2.90984,-3.1334
0.941876,8.94798,-2.90984,-3.1334
0.951896,8.95936,-2.91014,-3.15434
0.961916,8.95202,-2.89323,-3.12591
0.971936,8.98075,-2.93303,-3.13175
0.981956,9.02954,-2.96386,-3.14611
0.991976,9.04061,-2.99199,-3.14746
1.002,9.01771,-3.01443,-3.09404
1.01202,9.01547,-3.04661,-3.07534
1.02204,8.95981,-3.04242,-3.04212
1.03206,8.8808,-3.08776,-2.97807
1.04208,8.86927,-3.10272,-2.93483
1.0521,8.77815,-3.09554,-2.94126
1.06212,8.75091,-3.07608,-2.91089
1.07214,8.74358,-3.11963,-2.89353
1.08216,8.69854,-3.09658,-2.88754
1.09218,8.69121,-3.11783,-2.87168
1.1022,8.69196,-3.13923,-2.83322
1.11222,8.73804,-3.17978,-2.82888
1.12224,8.80119,-3.23126,-2.87826
1.13226,8.81032,-3.24802,-2.89009
1.14228,8.76528,-3.28333,-2.83622
1.1523,8.72562,-3.30114,-2.81781
1.16232,8.68343,-3.30638,-2.82903
1.17234,8.68432,-3.32673,-2.80165
1.18236,8.68896,-3.37192,-2.7795
1.19238,8.67235,-3.39765,-2.76394
1.20239,8.69959,-3.41681,-2.78534
1.21241,8.715,-3.45811,-2.74793
1.22243,8.67909,-3.47711,-2.7421
1.23245,8.64976,-3.4801,-2.76379
1.24247,8.64961,-3.45646,-2.76619
1.25249,8.57703,-3.47187,-2.72354
1.26251,8.54262,-3.45871,-2.71127
1.27253,8.54067,-3.44913,-2.73102
1.28255,8.50431,-3.44255,-2.75062
1.29257,8.50641,-3.41696,-2.76873
1.30259,8.53768,-3.40977,-2.78594
1.31261,8.49234,-3.41396,-2.822
