time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-0.523729,4.53445,8.3846
0.010027,-0.569069,4.51679,8.39627
0.0200539,-0.586876,4.5099,8.42381
0.0300809,-0.595555,4.50841,8.47169
0.0401078,-0.622789,4.49225,8.45732
0.0501348,-0.648825,4.47863,8.56521
0.0601618,-0.625332,4.44945,8.63734
0.0701887,-0.603934,4.42297,8.6921
0.0802157,-0.619347,4.38765,8.76558
0.0902426,-0.690275,4.39813,8.82094
0.10027,-0.681446,4.37957,8.84458
0.110297,-0.690724,4.34156,8.91791
0.120324,-0.7416,4.32765,8.95636
0.13035,-0.769732,4.3269,8.98046
0.140377,-0.810134,4.30131,9.07353
0.150404,-0.844101,4.29188,9.09403
0.160431,-0.86954,4.27108,9.10286
0.170458,-0.895427,4.26076,9.10016
0.180485,-0.899168,4.26375,9.06829
0.190512,-0.947052,4.28934,9.05602
0.200539,-0.962464,4.28261,9.02789
0.210566,-0.940168,4.28306,8.99557
0.220593,-0.938522,4.28186,8.96833
0.23062,-0.93523,4.28575,8.94035
0.240647,-0.944059,4.31777,8.93063
0.250674,-0.926102,4.34426,8.88768
0.260701,-0.92296,4.33782,8.84339
0.270728,-0.909942,4.35952,8.79356
0.280755,-0.887646,4.37703,8.75196
0.290782,-0.881211,4.40456,8.69944
0.300809,-0.83243,4.38915,8.65021
0.310836,-0.792477,4.41339,8.62507
0.320863,-0.77467,4.42716,8.59649
0.33089,-0.727085,4.40725,8.57763
0.340917,-0.67561,4.39603,8.54965
0.350944,-0.648376,4.40291,8.54696
0.360971,-0.661694,4.4089,8.53693
0.370998,-0.7003,4.42401,8.50266
0.381025,-0.723644,4.4484,8.49264
0.391051,-0.784396,4.44481,8.49144
0.401078,-0.763746,4.45035,8.55294
0.411105,-0.707333,4.40576,8.58871
0.421132,-0.652117,4.38316,8.58422
0.431159,-0.611715,4.37897,8.5507
0.441186,-0.576102,4.37209,8.551
0.451213,-0.562635,4.39783,8.53753
0.46124,-0.545726,4.39902,8.55638
0.471267,-0.516397,4.40262,8.58915
0.481294,-0.482579,4.39244,8.56671
0.491321,-0.483926,4.38316,8.58571
0.501348,-0.496645,4.40127,8.59858
0.511375,-0.489612,4.40052,8.57763
0.521402,-0.501283,4.3863,8.55983
0.531429,-0.541087,4.37284,8.53184
0.541456,-0.549018,4.38077,8.48172
0.551483,-0.596153,4.39319,8.44461
0.56151,-0.642092,4.35653,8.35737
0.571537,-0.680249,4.32884,8.3858
0.581564,-0.703144,4.31223,8.39014
0.591591,-0.715264,4.29712,8.42111
0.601618,-0.701348,4.26645,8.45224
0.611645,-0.698505,4.2232,8.48201
0.621672,-0.724542,4.19582,8.49922
0.631699,-0.741301,4.17367,8.51344
0.641725,-0.741002,4.12085,8.49788
0.651752,-0.750578,4.08613,8.47842
0.661779,-0.747885,3.97301,8.4895
0.671806,-0.732023,3.91525,8.47962
0.681833,-0.731724,3.81993,8.43114
0.69186,-0.756414,3.74257,8.37517
0.701887,-0.790382,3.69259,8.22673
0.711914,-0.93942,3.70471,8.09086
0.721941,-1.12123,3.74257,7.95844
0.731968,-1.3195,3.82487,7.84262
0.741995,-1.42305,3.93515,7.81987
0.752022,-1.43771,4.04394,7.90127
0.762049,-1.35047,4.04992,8.05136
0.772076,-1.17824,4.02059,8.17331
0.782103,-1.06137,4.02014,8.35707
0.79213,-0.961866,4.08194,8.5507
0.802157,-0.861609,4.1394,8.6924
0.812184,-0.762998,4.19537,8.91626
0.822211,-0.688629,4.25837,9.03821
0.832238,-0.56054,4.31822,9.22107
0.842265,-0.424969,4.2253,9.33599
0.852292,-0.225203,4.12444,9.37535
0.862319,-0.0924756,4.0776,9.38881
