time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,9.63811,-4.04798,-3.1301
0.0100235,9.81184,-4.15856,-3.28094
0.0200471,9.7047,-4.02299,-3.34932
0.0300706,9.66639,-3.87185,-3.28737
0.0400942,9.55716,-3.9136,-3.16841
0.0501177,9.38597,-3.8949,-3.12546
0.0601413,9.19099,-3.81679,-3.02326
0.0701648,8.95891,-3.78686,-2.94066
0.0801884,8.76932,-3.82008,-2.8437
0.0902119,8.70946,-3.9332,-2.7822
0.100235,8.6936,-4.13267,-2.71097
0.110259,8.73715,-4.30236,-2.64797
0.120283,8.78264,-4.42147,-2.50776
0.130306,8.91267,-4.54582,-2.33718
0.14033,9.22347,-4.78778,-2.21433
0.150353,9.69347,-5.08556,-2.11497
0.160377,10.1315,-5.28697,-2.01456
0.1704,10.4503,-5.30118,-1.83619
0.180424,10.6398,-5.13554,-1.63538
0.190447,10.7411,-4.91901,-1.4407
0.200471,10.7388,-4.58966,-1.29181
0.210494,10.5885,-4.16125,-1.20293
0.220518,10.4268,-3.7508,-1.07544
0.230542,10.1572,-3.41815,-1.02307
0.240565,9.94471,-3.19924,-1.00451
0.250589,9.75722,-3.09075,-1.03429
0.260612,9.59875,-3.12053,-1.15475
0.270636,9.50374,-3.28603,-1.23959
0.280659,9.38358,-3.52335,-1.28433
0.290683,9.36742,-3.80033,-1.30483
0.300706,9.415,-4.15601,-1.34703
0.31073,9.47815,-4.46711,-1.359
0.320753,9.56913,-4.76713,-1.32114
0.330777,9.67971,-5.04501,-1.31067
0.340801,9.7249,-5.26677,-1.2978
0.350824,9.78565,-5.50619,-1.26264
0.360848,9.81094,-5.75054,-1.23929
0.370871,9.83129,-5.90422,-1.21236
0.380895,9.81348,-6.03111,-1.20503
0.390918,9.78819,-6.08603,-1.1754
0.400942,9.73582,-6.08423,-1.1543
0.410965,9.65786,-6.05266,-1.1929
0.420989,9.55386,-5.96048,-1.18647
0.431012,9.36622,-5.80516,-1.173
0.441036,9.17753,-5.61258,-1.15804
0.451059,8.99033,-5.44139,-1.19021
0.461083,8.75645,-5.25719,-1.16043
0.471107,8.50745,-5.03872,-1.14113
0.48113,8.29557,-4.88011,-1.15729
0.491154,8.07066,-4.74783,-1.15819
0.501177,7.86357,-4.65924,-1.18872
0.511201,7.67188,-4.60133,-1.18572
0.521224,7.49366,-4.52876,-1.21849
0.531248,7.49366,-4.52876,-1.21849
0.541271,7.16222,-4.45484,-1.19844
0.551295,6.9846,-4.42222,-1.14846
0.561318,6.84948,-4.38017,-1.13634
0.571342,6.72977,-4.38002,-1.14382
0.581366,6.61978,-4.38885,-1.14053
0.591389,6.54706,-4.37733,-1.1519
0.601413,6.46656,-4.39319,-1.16163
0.611436,6.40775,-4.37972,-1.2137
0.62146,6.3847,-4.39693,-1.25381
0.631483,6.33622,-4.44481,-1.27895
0.641507,6.27756,-4.39169,-1.30902
0.65153,6.23776,-4.33992,-1.34479
0.661554,6.22654,-4.285,-1.41287
0.671577,6.26245,-4.23293,-1.47422
0.681601,6.27367,-4.13028,-1.55757
0.691625,6.38889,-4.03825,-1.64541
0.701648,6.60018,-3.9133,-1.74013
0.711672,6.8616,-3.78102,-1.82123
0.721695,7.14396,-3.64964,-1.94857
0.731719,7.46778,-3.4626,-2.04793
0.741742,7.848,-3.30682,-2.141
0.751766,8.13471,-3.20567,-2.23094
0.761789,8.33477,-3.09584,-2.22435
0.771813,8.45299,-3.08491,-2.18814
0.781836,8.56551,-3.15285,-2.07606
0.79186,8.69659,-3.2543,-1.94468
0.801884,8.80837,-3.48624,-1.84173
0.811907,9.00978,-3.67987,-1.71604
0.821931,9.06754,-3.77249,-1.54335
0.831954,9.18725,-3.88816,-1.43621
0.841978,9.28736,-4.07446,-1.32444
0.852001,9.41276,-4.24849,-1.24318
0.862025,9.53142,-4.38825,-1.18363
0.872048,9.74241,-4.57185,-1.13769
0.882072,10.0028,-4.83207,-1.13904
0.892095,10.2703,-5.07164,-1.16747
0.902119,10.4554,-5.13539,-1.16208
0.912143,10.6603,-5.09648,-1.21759
0.922166,10.8879,-5.12087,-1.26114
0.93219,11.2026,-5.25704,-1.28358
0.942213,11.5568,-5.44199,-1.3611
0.952237,11.7534,-5.49452,-1.50131
0.96226,11.716,-5.33725,-1.51163
0.972284,11.5861,-5.07912,-1.41676
0.982307,11.5158,-4.92949,-1.41257
0.992331,11.4956,-4.94475,-1.45761
1.00235,11.6166,-5.05877,-1.55413
1.01238,11.6052,-5.26243,-1.68611
1.0224,11.366,-5.24372,-1.64556
1.03243,10.8781,-4.86843,-1.43382
1.04245,10.3074,-4.54402,-1.18512
1.05247,9.77413,-4.34725,-0.876273
1.0625,9.3719,-4.26315,-0.627128
1.07252,9.04585,-4.24684,-0.496645
1.08254,8.76184,-4.23532,-0.32531
1.09257,8.43503,-4.13611,-0.278025
1.10259,8.09042,-3.98498,-0.214579
1.11261,7.84187,-3.749,-0.162805
1.12264,7.67832,-3.57093,-0.207696
1.13266,7.68969,-3.503,-0.370052
1.14268,7.75298,-3.51213,-0.552459
1.15271,7.8501,-3.47442,-0.714366
1.16273,7.98881,-3.47472,-0.846645
1.17275,8.19247,-3.58216,-0.990147
1.18278,8.42141,-3.76382,-1.12093
1.1928,8.69285,-3.95355,-1.16836
1.20283,8.95217,-4.13072,-1.21849
1.21285,9.19025,-4.19716,-1.23585
1.22287,9.3526,-4.38601,-1.28014
1.2329,9.55716,-4.4686,-1.39746
1.24292,9.59771,-4.42641,-1.50131
1.25294,9.52947,-4.51858,-1.59034
1.26297,9.32911,-4.54941,-1.60366
1.27299,9.12291,-4.5138,-1.61368
1.28301,8.88888,-4.45469,-1.63628
1.29304,8.59903,-4.30685,-1.65394
1.30306,8.36036,-4.04184,-1.69434
1.31308,8.31322,-3.70291,-1.82602
1.32311,8.37577,-3.28617,-2.01905
1.33313,8.73595,-2.86764,-2.17752
1.34315,9.2293,-2.43758,-2.40137
1.35318,9.9302,-1.94842,-2.59021
1.3632,10.7124,-1.32144,-2.77876
1.37323,11.6808,-0.909193,-2.78339
1.38325,12.878,-0.672169,-2.85313
1.39327,13.9867,-0.490061,-2.73746
1.4033,14.6375,-0.357482,-2.25787
1.41332,15.1008,-0.203805,-1.66351
1.42334,15.4947,-0.267251,-1.08502
1.43337,15.7862,-0.578197,-0.0188542
1.44339,15.9247,-1.12317,1.04028
1.45341,16.0586,-1.63568,1.89485
1.46344,15.8923,-2.13786,2.61535
1.47346,15.4332,-2.39853,3.65563
1.48348,14.9502,-2.51195,4.49763
1.49351,14.7832,-2.5534,5.41012
1.50353,14.6451,-2.62313,5.96393
1.51356,14.261,-2.70319,6.51833
1.52358,13.9295,-2.64214,7.1275
1.5336,13.7967,-2.73701,7.59497
1.54363,13.4839,-2.97224,8.2411
1.55365,13.0195,-3.26388,8.8163
1.56367,12.6439,-3.62271,8.98689
1.5737,12.1733,-3.96448,9.07622
1.58372,11.6075,-4.26046,9.18471
1.59374,11.1158,-4.43239,9.22601
1.60377,10.3104,-4.49285,9.21583
1.61379,9.36397,-4.37179,9.03582
1.62381,8.28075,-4.23861,8.68268
1.63384,7.25544,-4.14853,8.3032
1.64386,6.45429,-3.90373,7.90487
1.65388,5.7471,-3.7722,7.16237
1.66391,5.13449,-3.3782,6.79456
1.67393,4.90644,-3.26208,7.2951
1.68396,4.58532,-2.86555,6.75521
1.69398,4.56422,-2.62074,6.78079
1.704,4.4086,-2.53051,6.91262
1.71403,4.2642,-2.31309,6.84618
1.72405,4.14748,-2.09462,6.65106
1.73407,4.00982,-1.92672,6.60647
1.7441,3.92453,-1.64481,6.49274
1.75412,3.8313,-1.33072,6.26874
1.76414,3.82113,-0.985957,6.1993
1.77417,3.64156,-0.540189,6.17566
1.78419,3.51976,-0.267251,6.00538
1.79421,3.47172,0.0513254,5.75877
1.80424,3.2356,0.494849,5.59567
1.81426,2.95084,0.991045,5.55557
1.82429,2.66219,1.41766,5.57592
1.83431,2.44118,1.72965,5.57263
1.84433,2.44611,2.07741,5.748
1.85436,2.44626,2.42322,5.9952
1.86438,2.39344,2.70469,6.17851
1.8744,2.33374,3.03344,6.41329
1.88443,2.2884,3.33541,6.75536
1.89445,2.28735,3.58934,7.15414
1.90447,2.44761,3.60879,7.47855
1.9145,2.71486,3.38119,7.67487
1.92452,2.96251,3.01339,7.81209
1.93454,3.13459,2.69152,7.82631
1.94457,3.22946,2.37534,7.77229
1.95459,3.18322,2.18754,7.63073
1.96461,3.12083,2.12993,7.48304
1.97464,2.90984,2.11212,7.37365
1.98466,2.54622,2.2453,7.28926
1.99469,2.16135,2.4735,7.16551
2.00471,1.75838,2.61864,6.92968
2.01473,1.41078,2.72758,6.73186
2.02476,1.15909,2.81826,6.66617
2.03478,0.960669,2.89203,6.62517
2.0448,0.762549,2.98136,6.68577
2.05483,0.669326,3.09838,6.80653
2.06485,0.59765,3.235,6.8824
2.07487,0.486769,3.43506,6.95796
2.0849,0.437388,3.55387,7.10191
2.09492,0.438137,3.7279,7.34896
2.10494,0.502331,3.91181,7.55741
2.11497,0.541536,4.11456,7.71124
2.12499,0.486619,4.34291,7.83813
2.13501,0.540039,4.47399,7.90801
2.14504,0.708082,4.594,7.94437
2.15506,0.861908,4.69097,7.99929
2.16509,0.947351,4.74813,8.00886
2.17511,1.02546,4.78374,8.00258
2.18513,1.06182,4.84015,8.0536
2.19516,1.06107,4.74439,8.22015
2.20518,1.01184,4.67645,8.29452
2.2152,0.891836,4.71985,8.29751
2.22523,0.684439,4.76115,8.27911
2.23525,0.382472,4.87801,8.29751
2.24527,0.15637,4.97722,8.27582
2.2553,-0.00613511,5.02106,8.26399
2.26532,-0.179115,5.18985,8.37727
2.27534,-0.228196,5.17654,8.33193
2.28537,-0.245704,5.06042,8.31906
2.29539,-0.262613,4.96869,8.3641
2.30542,-0.282664,4.85601,8.37966
2.31544,-0.310796,4.70907,8.34869
2.32546,-0.362271,4.55914,8.302
2.33549,-0.340424,4.44377,8.28
2.34551,-0.284011,4.4107,8.36425
2.35553,-0.208145,4.39768,8.27222
2.36556,-0.162655,4.29218,8.07216
2.37558,-0.14021,4.35279,7.93509
2.3856,-0.225353,4.47444,7.78052
2.39563,-0.268448,4.5729,7.68924
2.40565,-0.312292,4.5943,7.6641
2.41567,-0.396238,4.69605,7.64644
2.4257,-0.468513,4.78509,7.69283
2.43572,-0.492754,4.93547,7.70675
2.44574,-0.583733,5.03603,7.72021
2.45577,-0.617551,5.11219,7.80162
2.46579,-0.622639,5.25704,7.82257
2.47582,-0.671121,5.39456,7.81538
2.48584,-0.697607,5.45666,7.80551
2.49586,-0.652566,5.49796,7.83379
2.50589,-0.656457,5.53581,7.88227
2.51591,-0.631467,5.54943,7.94631
2.52593,-0.576551,5.51112,8.02368
2.53596,-0.533755,5.53806,8.08967
2.54598,-0.497692,5.48733,8.14354
2.556,-0.467166,5.47701,8.20444
2.56603,-0.483327,5.521,8.2221
2.57605,-0.568919,5.64565,8.25322
2.58607,-0.630121,5.58115,8.23721
2.5961,-0.70449,5.57771,8.27956
2.60612,-0.78709,5.5412,8.33971
2.61615,-0.841558,5.47192,8.50177
2.62617,-0.87762,5.39635,8.75331
2.63619,-0.945406,5.40069,9.03163
2.64622,-0.932686,5.41476,9.25893
2.65624,-0.925653,5.49272,9.49281
2.66626,-0.823003,5.63847,9.63826
2.67629,-0.771528,5.79977,9.68046
2.68631,-0.659749,5.92278,9.72026
2.69633,-0.523579,5.9934,9.77996
2.70636,-0.313639,5.99729,9.86047
2.71638,-0.136618,6.00523,9.88935
2.7264,0.0237923,6.03081,9.89174
2.73643,0.160411,5.97889,9.79029
2.74645,0.275481,5.82566,9.58065
2.75647,0.330548,5.69263,9.36308
2.7665,0.328752,5.47716,9.15523
2.77652,0.352544,5.34787,8.99093
2.78655,0.349402,5.16801,8.89905
2.79657,0.405366,4.88893,8.85371
2.80659,0.457739,4.65999,8.93137
2.81662,0.51101,4.44885,8.97417
2.82664,0.563383,4.20809,8.983
2.83666,0.697158,3.99964,9.00006
2.84669,0.78275,3.86841,8.97327
