time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,-2.57734,0.801754,5.45322
0.0100169,-2.57914,0.800557,5.00565
0.0200338,-2.79357,0.783798,4.28829
0.0300507,-3.10347,0.946303,3.92273
0.0400676,-2.98765,0.173429,3.67239
0.0500845,-3.30308,-0.131082,3.68825
0.0601014,-5.6057,1.87764,4.24924
0.0701183,-5.47776,1.29181,4.37374
0.0801352,-6.41912,0.53151,5.67079
0.0901521,-7.40104,0.469111,6.2002
0.100169,-6.84693,0.277277,5.73513
0.110186,-6.54078,0.102052,5.29714
0.120203,-6.7178,-0.139462,4.12324
0.13022,-6.60602,-0.0510262,3.44329
0.140237,-6.96604,0.155772,2.99483
0.150254,-7.57671,-0.100406,2.95847
0.16027,-7.95395,-0.282365,2.89996
0.170287,-8.42485,-0.291493,2.60174
0.180304,-8.98046,-0.433348,2.68149
0.190321,-9.40857,-0.655858,2.83771
0.200338,-9.79463,-0.897073,2.9272
0.210355,-10.307,-1.04566,2.72863
0.220372,-10.6467,-1.11045,2.66997
0.230389,-10.664,-1.30857,2.50208
0.240406,-10.6567,-1.64466,1.81943
0.250423,-10.5329,-1.87495,1.17704
0.260439,-10.427,-2.0819,0.630121
0.270456,-10.7216,-2.46108,0.0173579
0.280473,-11.3743,-2.65441,-0.338927
0.29049,-12.3211,-2.29633,-0.0957676
0.300507,-13.2403,-2.02489,0.435144
0.310524,-13.8387,-2.51614,0.583135
0.320541,-13.9454,-3.12651,0.494699
0.330558,-13.5766,-3.40379,0.287153
0.340575,-13.0594,-3.75409,0.0776615
0.350592,-12.6998,-4.36087,-0.213382
0.360609,-12.4882,-4.85601,-0.611266
0.370625,-12.265,-5.29206,-0.923858
0.380642,-12.0579,-5.60974,-1.02845
0.390659,-12.0449,-5.90452,-0.999873
0.400676,-11.8934,-5.98188,-0.844999
0.410693,-11.8209,-5.91215,-0.648227
0.42071,-11.8919,-5.84841,-0.440232
0.430727,-11.7848,-5.67483,-0.271441
0.440744,-11.6404,-5.58071,-0.152031
0.450761,-11.5442,-5.57726,-0.151582
0.460778,-11.3913,-5.55138,-0.159962
0.470794,-11.2479,-5.51247,-0.247649
0.480811,-11.1749,-5.57053,-0.370052
0.490828,-11.2319,-5.65642,-0.500086
0.500845,-11.2328,-5.644,-0.570565
0.510862,-11.1892,-5.6018,-0.713917
0.520879,-11.1964,-5.67019,-0.829287
0.530896,-11.2323,-5.6859,-0.944358
0.540913,-11.2401,-5.6054,-1.08307
0.55093,-11.2169,-5.4616,-1.15684
0.560947,-11.2425,-5.27201,-1.20353
0.570963,-11.1789,-5.11414,-1.23854
0.58098,-11.0312,-4.90495,-1.22717
0.590997,-10.8608,-4.78479,-1.13844
0.601014,-10.777,-4.68378,-0.99733
0.611031,-10.5955,-4.56542,-0.860711
0.621048,-10.4215,-4.42461,-0.748184
0.631065,-10.2783,-4.38137,-0.755067
0.641082,-10.1545,-4.44302,-0.820459
0.651099,-10.0568,-4.61645,-0.985957
0.661116,-9.88112,-4.85991,-1.15535
0.671133,-9.74091,-5.06162,-1.26219
0.681149,-9.63646,-5.31779,-1.30693
0.691166,-9.48593,-5.51412,-1.30319
0.701183,-9.1476,-5.45052,-1.30154
0.7112,-8.84668,-5.37825,-1.27027
0.721217,-8.71889,-5.29266,-1.24004
0.731234,-8.63644,-5.1927,-1.23031
0.741251,-8.51314,-5.03842,-1.23181
0.751268,-8.33627,-4.99084,-1.20383
0.761285,-8.138,-5.01942,-1.24647
0.771302,-7.92342,-5.09932,-1.27805
0.781318,-7.479,-5.25719,-1.52884
0.791335,-7.479,-5.25719,-1.52884
0.801352,-7.36049,-5.35281,-1.60785
0.811369,-7.26711,-5.47012,-1.65678
0.821386,-7.28028,-5.58235,-1.59528
0.831403,-7.25709,-5.6853,-1.46584
0.84142,-7.21773,-5.72705,-1.39985
0.851437,-7.30108,-5.748,-1.35795
0.861454,-7.27295,-5.82476,-1.31232
0.871471,-7.34552,-5.82716,-1.23331
0.881487,-7.39176,-5.84287,-1.11883
0.891504,-7.42393,-5.88701,-1.02007
0.901521,-7.50563,-6.04219,-0.915927
0.911538,-7.70869,-6.23282,-0.804897
0.921555,-7.63582,-6.30465,-0.456991
0.931572,-7.58629,-6.2852,-0.186747
0.941589,-7.58569,-6.21636,-0.00448911
0.951606,-7.62504,-6.14484,-0.0523729
0.961623,-7.75553,-6.08184,-0.553806
0.97164,-7.47945,-5.57113,-0.877022
0.981656,-7.4362,-5.12656,-1.06033
0.991673,-7.50534,-5.2319,-0.985508
1.00169,-7.55262,-5.2958,-0.889741
1.01171,-7.84576,-5.37989,-0.932238
1.02172,-7.85174,-5.66989,-0.797714
1.03174,-7.69268,-5.79274,-0.741151
1.04176,-7.75164,-5.78227,-0.779758
