freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
0.0487554,3.19401,1.57348,0.321508
0.073133,3.35465,2.36544,0.427165
0.0975107,6.81734,4.92735,0.809055
0.121888,4.21608,2.29811,0.458028
0.146266,1.81325,2.64633,0.398991
0.170644,1.00313,1.6677,0.267108
0.195021,1.37205,2.08073,0.327083
0.219399,1.16455,1.19674,0.279365
0.243777,0.386794,0.861025,0.230067
0.268155,0.36713,0.761528,0.155544
0.292532,0.376687,0.959843,0.197987
0.31691,0.438102,0.967567,0.33346
0.341288,0.647736,0.735137,0.271608
0.365665,0.849562,0.448013,0.0824909
0.390043,0.482006,0.458272,0.132842
0.414421,0.647844,0.524,0.163194
0.438798,0.443079,0.559087,0.145495
0.463176,0.449685,0.30744,0.135589
0.487554,0.374392,0.498467,0.246727
0.511931,0.473569,0.463499,0.147379
0.536309,0.583092,0.292238,0.109382
0.560687,0.493058,0.185828,0.152105
0.585064,0.405896,0.210355,0.177154
0.609442,0.344189,0.371229,0.17116
0.63382,0.223195,0.195886,0.113772
0.658197,0.283712,0.180144,0.148692
0.682575,0.333086,0.175547,0.164789
0.706953,0.337568,0.220649,0.227482
0.73133,0.20047,0.210737,0.258218
0.755708,0.171401,0.305469,0.362728
0.780086,0.333824,0.254859,0.269297
0.804464,0.363415,0.307011,0.346301
0.828841,0.259669,0.24323,0.376436
0.853219,0.543693,0.156335,0.39261
0.877597,0.690213,0.183006,0.665384
0.901974,0.210605,0.119811,0.483971
0.926352,0.165925,0.118554,0.224182
0.95073,0.319056,0.304519,0.241384
0.975107,0.405667,0.158463,0.313304
0.999485,0.287181,0.143203,0.160031
1.02386,0.416742,0.133275,0.178994
1.04824,0.207412,0.240233,0.235555
1.07262,0.334091,0.392655,0.523343
1.097,0.319023,0.431962,0.400631
1.12137,0.207425,0.198924,0.388802
1.14575,0.158056,0.3056,0.667693
1.17013,0.252041,0.282744,0.623808
1.19451,0.211695,0.263005,0.875716
1.21888,0.39495,0.407949,1.41286
1.24326,0.573421,0.429466,1.31774
1.26764,0.364936,0.485516,0.888585
1.29202,0.48609,0.871191,0.971492
1.31639,0.551868,0.751459,0.784083
1.34077,0.754116,0.53933,0.72687
1.36515,0.62179,0.243513,0.517073
1.38953,0.601691,0.381009,0.543052
1.41391,0.668032,0.398024,0.838088
1.43828,0.245057,0.505368,0.835317
1.46266,0.227122,0.37934,0.332494
1.48704,0.55766,0.293138,0.710307
1.51142,0.560608,0.663713,1.92395
1.53579,0.696112,0.393724,2.07504
1.56017,0.719097,0.39123,2.28239
