freq (Hz),X (m^2/s^3),Y (m^2/s^3),Z (m^2/s^3)
0.0487457,14.1422,13.3777,33.3671
0.0731186,8.80997,8.26457,21.0757
0.0974915,4.32957,3.97428,9.13578
0.121864,1.17122,1.14336,3.25089
0.146237,0.223879,0.406578,0.91032
0.17061,0.365044,0.72865,1.62186
0.194983,0.736818,1.33319,3.03791
0.219356,0.76334,1.29449,2.60529
0.243729,0.555402,0.975084,1.28633
0.268102,0.196576,0.374454,0.911662
0.292474,0.124713,0.164728,0.863001
0.316847,0.255333,0.211493,0.781549
0.34122,0.450735,0.360739,0.906988
0.365593,0.473657,0.464904,1.06222
0.389966,0.36283,0.484959,1.43798
0.414339,0.175201,0.19624,0.642143
0.438712,0.0528853,0.107642,0.278426
0.463084,0.0746651,0.141279,0.422105
0.487457,0.149175,0.351499,1.03093
0.51183,0.178382,0.228655,0.652539
0.536203,0.139566,0.210367,0.499624
0.560576,0.102379,0.443361,0.82006
0.584949,0.126229,0.761231,1.29702
0.609322,0.261701,0.717732,0.844373
0.633694,0.374485,0.528463,0.488829
0.658067,0.405344,0.529669,0.411923
0.68244,0.282292,0.617004,0.386179
0.706813,0.240007,0.529214,0.420067
0.731186,0.28823,0.181153,0.172125
0.755559,0.303477,0.15285,0.240554
0.779932,0.28975,0.152158,0.313065
0.804305,0.289672,0.133364,0.228837
0.828677,0.14356,0.107077,0.263207
0.85305,0.182155,0.0870683,0.218652
0.877423,0.185285,0.0832464,0.232569
0.901796,0.213202,0.125705,0.192834
0.926169,0.130142,0.152335,0.183099
0.950542,0.1449,0.142457,0.272085
0.974915,0.118709,0.0944782,0.255864
0.999287,0.187461,0.0968311,0.180988
1.02366,0.293796,0.0926272,0.199384
1.04803,0.314527,0.130511,0.248041
1.07241,0.522928,0.0992239,0.330305
1.09678,0.673006,0.119443,0.350519
1.12115,0.552533,0.134451,0.706199
1.14552,0.706684,0.153203,0.925074
1.1699,1.00426,0.109255,0.73807
1.19427,2.69717,0.213553,2.21232
1.21864,1.85675,0.218966,1.58624
1.24302,1.14117,0.190276,0.676273
1.26739,0.855311,0.208953,0.972686
1.29176,1.39435,0.312179,1.35645
1.31613,0.950287,0.213224,0.916412
1.34051,0.343873,0.110012,0.575034
1.36488,0.338049,0.113057,0.474906
1.38925,0.227982,0.1546,0.390179
1.41363,0.132271,0.0763858,0.261006
1.438,0.101104,0.0717138,0.161175
1.46237,0.167818,0.0848179,0.150064
1.48674,0.133925,0.0755053,0.104819
1.51112,0.12878,0.0866922,0.0860587
1.53549,0.1104,0.0924171,0.114822
1.55986,0.112182,0.0695576,0.121076
1.58424,0.194684,0.0467164,0.0963022
1.60861,0.136098,0.0575131,0.113725
1.63298,0.0833596,0.0667361,0.0844521
1.65735,0.0606725,0.0684103,0.0870323
1.68173,0.131074,0.0628797,0.112661
1.7061,0.125157,0.0704575,0.154544
1.73047,0.0815503,0.0623808,0.103076
1.75485,0.0693072,0.0746613,0.103823
1.77922,0.0889627,0.101875,0.109663
1.80359,0.14806,0.113681,0.186469
1.82796,0.204993,0.129047,0.156417
1.85234,0.147447,0.153146,0.106249
1.87671,0.223325,0.170529,0.145623
1.90108,0.299666,0.177993,0.117594
1.92546,0.347146,0.0968079,0.0713881
1.94983,0.115679,0.0757757,0.0607047
1.9742,0.129814,0.10381,0.0908546
1.99857,0.149942,0.0911816,0.0607677
2.02295,0.269246,0.127094,0.0677279
2.04732,0.239531,0.0789593,0.0519407
2.07169,0.270192,0.0664683,0.0574679
2.09607,0.226866,0.0703549,0.0492855
2.12044,0.274264,0.0814178,0.0495573
2.14481,0.231191,0.127883,0.0644524
2.16918,0.350193,0.215024,0.103609
2.19356,0.228549,0.137978,0.0514235
2.21793,0.124766,0.0868134,0.0349785
2.2423,0.335406,0.185222,0.0592306
2.26668,0.455527,0.264999,0.110725
2.29105,0.363058,0.255419,0.0870854
2.31542,0.26548,0.265809,0.0816749
2.3398,0.395093,0.302475,0.0744327
2.36417,0.347221,0.350706,0.0435329
2.38854,0.531454,0.387719,0.0572947
2.41291,0.757324,0.54481,0.17133
2.43729,0.530023,0.500953,0.106103
2.46166,0.701718,0.777002,0.1299
2.48603,0.909371,0.728529,0.112083
2.51041,0.631067,0.687073,0.0602244
2.53478,0.347432,0.289775,0.0496066
2.55915,0.411336,0.27221,0.0797483
2.58352,0.40768,0.220231,0.0415451
2.6079,0.415528,0.296636,0.0710672
2.63227,0.280237,0.206095,0.0457978
2.65664,0.307214,0.246359,0.0445618
2.68102,0.243747,0.200617,0.0508782
2.70539,0.39768,0.247993,0.06659
2.72976,0.361516,0.231972,0.0804214
2.75413,0.363448,0.133151,0.0582924
2.77851,0.401598,0.0932772,0.0336777
2.80288,0.210752,0.068996,0.0389296
2.82725,0.230532,0.111358,0.0295636
2.85163,0.199052,0.116216,0.038494
2.876,0.15978,0.0809131,0.032532
2.90037,0.183086,0.0599772,0.040932
2.92474,0.189126,0.0676591,0.0449699
2.94912,0.141676,0.118096,0.02902
2.97349,0.177475,0.102653,0.0233035
2.99786,0.153985,0.17028,0.0446629
3.02224,0.138758,0.134095,0.0374196
3.04661,0.256034,0.10973,0.0346154
3.07098,0.191663,0.107789,0.0390665
3.09535,0.24507,0.0713889,0.0508618
3.11973,0.174646,0.0728806,0.0362456
3.1441,0.179239,0.0853388,0.0264184
3.16847,0.114699,0.110003,0.0285527
3.19285,0.0893925,0.146242,0.0391373
3.21722,0.0931608,0.0956166,0.0373687
3.24159,0.102289,0.089525,0.0250691
3.26596,0.106399,0.0535753,0.0278066
3.29034,0.105655,0.0899968,0.0385743
3.31471,0.0830893,0.0760823,0.0304335
3.33908,0.153494,0.209034,0.0353773
3.36346,0.206342,0.252061,0.0297116
3.38783,0.145635,0.169345,0.0338991
3.4122,0.108802,0.0925446,0.0211989
3.43657,0.147199,0.136271,0.0371685
3.46095,0.185181,0.183988,0.0485398
3.48532,0.156096,0.175278,0.0434931
3.50969,0.172883,0.199456,0.0403371
3.53407,0.208707,0.281889,0.0344446
3.55844,0.362979,0.400333,0.0648531
3.58281,0.324029,0.363223,0.0550474
3.60718,0.251962,0.267634,0.0542217
3.63156,0.216646,0.286499,0.0408926
3.65593,0.358429,0.411965,0.0767571
3.6803,0.713086,0.690444,0.125718
3.70468,0.545114,0.49658,0.107209
3.72905,0.255061,0.38385,0.0573989
3.75342,0.287216,0.383727,0.102722
3.77779,0.421538,0.654555,0.106893
3.80217,0.275394,0.350544,0.0774698
3.82654,0.160133,0.166049,0.063916
3.85091,0.193498,0.1963,0.0586482
3.87529,0.219125,0.187805,0.0738708
3.89966,0.128137,0.154604,0.0411186
3.92403,0.129793,0.146183,0.0617105
3.9484,0.0857953,0.218855,0.0320763
3.97278,0.141838,0.184446,0.0389743
3.99715,0.155425,0.145127,0.0580136
4.02152,0.178598,0.162843,0.0682783
4.0459,0.163477,0.131479,0.0578116
4.07027,0.120835,0.189708,0.0491072
4.09464,0.111798,0.190373,0.0444465
4.11901,0.100847,0.108704,0.0403438
4.14339,0.0719582,0.117582,0.0374647
4.16776,0.0577992,0.103046,0.0195059
4.19213,0.0803328,0.100932,0.0206085
4.21651,0.0505368,0.0872542,0.02665
4.24088,0.0779822,0.121422,0.0433475
4.26525,0.0639011,0.0924759,0.0477834
4.28962,0.0739393,0.0566467,0.0443284
4.314,0.0946029,0.0895833,0.0647613
4.33837,0.0717383,0.117015,0.0363434
4.36274,0.0984118,0.0985019,0.0564992
4.38712,0.0526969,0.113942,0.0324517
4.41149,0.103899,0.168396,0.0235145
4.43586,0.0929573,0.103744,0.0315034
4.46023,0.0723389,0.108034,0.0204414
4.48461,0.0549717,0.0891604,0.0191699
4.50898,0.0492035,0.0920525,0.0243008
4.53335,0.0418425,0.0676678,0.0337039
4.55773,0.037889,0.0535518,0.0201553
4.5821,0.0383175,0.0475664,0.0170531
4.60647,0.0401906,0.0633478,0.0210293
4.63084,0.057124,0.0713895,0.0459782
4.65522,0.0708345,0.114422,0.0600233
4.67959,0.0477627,0.11068,0.0359004
4.70396,0.0393156,0.0939117,0.0179223
4.72834,0.0418703,0.0702599,0.0201809
4.75271,0.03131,0.0547439,0.0253478
4.77708,0.0347573,0.0799193,0.0289473
4.80145,0.0432039,0.0854459,0.0344684
4.82583,0.0373912,0.0607528,0.0226192
4.8502,0.0534495,0.091629,0.0301902
4.87457,0.0601664,0.113725,0.0343439
4.89895,0.03013,0.0521932,0.0277095
4.92332,0.0395189,0.0796081,0.0377992
4.94769,0.0310405,0.0900604,0.0305068
4.97206,0.0342887,0.096728,0.0456785
4.99644,0.0349502,0.0782981,0.0367318
5.02081,0.0293583,0.0668509,0.0475413
5.04518,0.0291105,0.0591455,0.0448377
5.06956,0.0288983,0.0716433,0.0384341
5.09393,0.0218806,0.0446988,0.0215166
5.1183,0.0152082,0.0419959,0.0192505
5.14267,0.0289711,0.0747967,0.023618
5.16705,0.0209581,0.0471591,0.0171887
5.19142,0.0217783,0.0661508,0.0196831
5.21579,0.0306194,0.07579,0.0185879
5.24017,0.01643,0.037517,0.0157833
5.26454,0.0172542,0.0290223,0.0195377
5.28891,0.0186295,0.029681,0.0203487
5.31328,0.0134037,0.0290766,0.0196938
5.33766,0.0128436,0.0259862,0.0212949
5.36203,0.0163228,0.0311451,0.02773
5.3864,0.0130317,0.0255235,0.0309262
5.41078,0.0142018,0.0356464,0.029081
5.43515,0.0182255,0.0444637,0.0285423
5.45952,0.015557,0.0309889,0.0250413
5.48389,0.0119614,0.0243001,0.0269931
5.50827,0.0186005,0.0326749,0.0304349
5.53264,0.0204422,0.0382441,0.0371512
5.55701,0.00905815,0.0212589,0.0390502
5.58139,0.00500547,0.0128814,0.0209464
5.60576,0.0053882,0.0142249,0.0205203
5.63013,0.00642324,0.0169257,0.0181651
5.6545,0.00919054,0.0236133,0.017747
5.67888,0.00784337,0.0259048,0.0147722
5.70325,0.0119218,0.0163728,0.0168308
5.72762,0.010225,0.0150151,0.0128334
5.752,0.0106911,0.0131383,0.0188202
5.77637,0.0100357,0.0149026,0.0148786
5.80074,0.0111336,0.0214431,0.0195317
5.82511,0.00829447,0.0276892,0.0186117
5.84949,0.0102126,0.0367882,0.0134274
5.87386,0.00701316,0.023093,0.0114685
5.89823,0.0045212,0.0165347,0.0108773
5.92261,0.00761609,0.0195637,0.0161227
5.94698,0.00722092,0.0103644,0.00910597
5.97135,0.00689699,0.0142418,0.0166986
5.99572,0.00931826,0.0153957,0.0150956
6.0201,0.00775169,0.0156141,0.0167209
6.04447,0.00493901,0.0141054,0.0160505
6.06884,0.00525306,0.0238598,0.0102041
6.09322,0.00715866,0.0240263,0.0112657
6.11759,0.00429396,0.0157024,0.0125338
6.14196,0.00511483,0.02137,0.0144876
6.16633,0.00839516,0.0217048,0.0141735
6.19071,0.0116352,0.0210542,0.0145412
6.21508,0.00902538,0.0274268,0.0195861
6.23945,0.00990095,0.0232528,0.017621
6.26383,0.0093217,0.011882,0.0112085
6.2882,0.0074471,0.0123081,0.00838346
6.31257,0.00481523,0.0124948,0.0111004
6.33694,0.00537578,0.0184125,0.0101737
6.36132,0.00702814,0.0141802,0.00878745
6.38569,0.00589971,0.022108,0.0130753
6.41006,0.00372951,0.0121926,0.0175205
6.43444,0.00516485,0.0178202,0.0141623
6.45881,0.00584634,0.0233824,0.0118018
6.48318,0.00624586,0.0149068,0.0129641
6.50755,0.0034758,0.0131223,0.0101866
6.53193,0.00602282,0.0188012,0.0101661
6.5563,0.00644265,0.0210335,0.0135478
6.58067,0.00499931,0.0158613,0.0116483
6.60505,0.00476242,0.0141073,0.00550667
6.62942,0.00369732,0.00867292,0.00652354
6.65379,0.00521635,0.0117141,0.00542211
6.67816,0.00458248,0.0167497,0.0097447
6.70254,0.00737382,0.015055,0.0115835
6.72691,0.00426844,0.0156477,0.0108735
6.75128,0.00376919,0.0112744,0.0083496
6.77566,0.00506291,0.0129914,0.0062172
6.80003,0.00733784,0.0233598,0.0154526
6.8244,0.00720217,0.0255695,0.0150918
6.84878,0.00468889,0.0151665,0.0109035
6.87315,0.00716676,0.0255349,0.0126148
6.89752,0.00574556,0.0230536,0.0129924
6.92189,0.00325251,0.00933202,0.00666804
6.94627,0.00368168,0.00950334,0.00689996
6.97064,0.0047571,0.0133087,0.00871408
6.99501,0.0057856,0.0140989,0.00886272
7.01939,0.0064618,0.0158753,0.00907382
7.04376,0.00522636,0.0196953,0.00750559
7.06813,0.00281522,0.0143549,0.00864263
7.0925,0.00551907,0.0277245,0.0132997
7.11688,0.00670377,0.0162366,0.00998468
7.14125,0.00594025,0.0152763,0.00705309
7.16562,0.00475498,0.0150858,0.00473802
7.19,0.00385278,0.0162491,0.00678486
7.21437,0.00274776,0.0104431,0.00459696
7.23874,0.00626535,0.0249113,0.0146716
7.26311,0.0045483,0.0142967,0.00872588
7.28749,0.00393887,0.0162355,0.00982028
7.31186,0.00447044,0.0154048,0.00879857
7.33623,0.00294239,0.00987227,0.00752547
7.36061,0.00366226,0.0166906,0.00966836
7.38498,0.00447456,0.0249505,0.00910704
7.40935,0.00461616,0.0221205,0.012639
7.43372,0.00380811,0.0138246,0.00901664
7.4581,0.00657147,0.02453,0.0130723
7.48247,0.00351428,0.0130047,0.00842998
7.50684,0.0021781,0.0111898,0.0088579
7.53122,0.00258111,0.0184235,0.00819866
7.55559,0.00333844,0.0146416,0.00841335
7.57996,0.00508138,0.0161198,0.00822861
7.60433,0.00233648,0.00857424,0.00608294
7.62871,0.00220825,0.0148124,0.00822656
7.65308,0.0036566,0.0146585,0.00813367
7.67745,0.00369523,0.0116415,0.00558347
7.70183,0.00481366,0.0136546,0.0057543
7.7262,0.00542918,0.011731,0.00448461
7.75057,0.00443461,0.0155348,0.00579464
7.77494,0.00263053,0.0113613,0.0048385
7.79932,0.00326264,0.00979834,0.00412843
7.82369,0.00421523,0.013063,0.00501357
7.84806,0.00462123,0.0140119,0.00662596
7.87244,0.00344183,0.00946067,0.00392997
7.89681,0.00307819,0.00940394,0.00468555
7.92118,0.00449206,0.010853,0.00671234
7.94555,0.0022315,0.00738191,0.0029913
7.96993,0.00289634,0.00800682,0.00359304
7.9943,0.00275173,0.00582027,0.00340748
8.01867,0.00281403,0.00957798,0.00573737
8.04305,0.00359563,0.0110492,0.00455282
8.06742,0.00354228,0.0137818,0.00406197
8.09179,0.00296356,0.0103556,0.00378225
8.11616,0.00289362,0.00641451,0.00333865
8.14054,0.00276394,0.0079833,0.00546504
8.16491,0.0049309,0.00991675,0.00409424
8.18928,0.00406372,0.00813817,0.00359093
8.21366,0.00395361,0.0104719,0.00380278
8.23803,0.00336355,0.00670937,0.00255283
8.2624,0.00272552,0.00714152,0.00309317
8.28677,0.00213362,0.00543825,0.00338674
8.31115,0.00286621,0.00601472,0.00409553
8.33552,0.00250314,0.00924498,0.00404985
8.35989,0.00352904,0.00793965,0.00297552
8.38427,0.00232435,0.00500541,0.00207844
8.40864,0.00220467,0.00632367,0.00235612
8.43301,0.0031554,0.00599891,0.00359389
8.45738,0.00296954,0.00872189,0.00335537
8.48176,0.00268157,0.0072881,0.0037769
8.50613,0.00213856,0.00805333,0.00391724
8.5305,0.00233404,0.00557746,0.00159816
8.55488,0.00235621,0.00524076,0.00350824
8.57925,0.00244142,0.0115509,0.00483091
8.60362,0.0021463,0.00722529,0.00366311
8.62799,0.00263076,0.00540305,0.00313247
8.65237,0.00197399,0.00410372,0.00333236
8.67674,0.00209239,0.00392463,0.00229406
8.70111,0.00220853,0.00580383,0.00300007
8.72549,0.00391425,0.0108163,0.00380374
