Standing,0,1475
Walking,3125,4575
Walking while counting,5625,7175
Going up stairs,11075,11725
Going down stairs,12225,13375
Walk through a narrow passageway,16575,18025
Finger to nose - right hand,19575,20325
Finger to nose - left hand,21275,22025
Finger to nose - right hand,22875,23625
Finger to nose - left hand,24375,25075
Alternating right hand movements,25825,26575
Alternating left hand movements,27275,28025
Alternating right hand movements,28825,29575
Alternating left hand movements,30675,31425
Sit to stand,33075,33775
Drawing and writing on a paper,34925,36375
Typing on computer keyboard,37275,38825
Assembling nuts and bolts,41025,42475
Take a glass of water & drink,43775,45075
Organize sheets in folder,46075,47375
Folding towels,48725,49925
Sitting,50575,52125
Standing,93725,95225
Walking,99525,101025
Walking while counting,101675,103175
Walk through a narrow passageway,104925,106475
Finger to nose - right hand,109875,110625
Finger to nose - left hand,111375,112125
Finger to nose - right hand,113025,113775
Finger to nose - left hand,114525,115325
Alternating right hand movements,116175,116925
Alternating left hand movements,117725,118475
Alternating right hand movements,119475,120225
Alternating left hand movements,120775,121575
Sit to stand,122425,123225
Drawing and writing on a paper,124425,126325
Typing on computer keyboard,127025,128525
Assembling nuts and bolts,129825,131325
Take a glass of water & drink,131925,133125
Organize sheets in folder,134175,135525
Folding towels,136475,137625
Sitting,138125,139625
